company_id,year,horizon_years,revenue_cagr_value,revenue_cagr_flag,pat_cagr_value,pat_cagr_flag,eps_cagr_value,eps_cagr_flag
ADANIENSOL,Mar 2017,3,,ZERO_BASE,,ZERO_BASE,,ZERO_BASE
ADANIENSOL,Mar 2018,3,211.09,NORMAL,,TURNAROUND,,ZERO_BASE
ADANIENSOL,Mar 2019,5,,ZERO_BASE,,ZERO_BASE,,ZERO_BASE
ADANIENSOL,Mar 2020,5,144.37,NORMAL,,TURNAROUND,,ZERO_BASE
ADANIENSOL,Mar 2024,3,18.72,NORMAL,-2.49,DECLINE,-3.13,DECLINE
ADANIENSOL,Mar 2024,10,,ZERO_BASE,,ZERO_BASE,,ZERO_BASE
ADANIENT,Mar 2016,3,-9.82,DECLINE,-6.36,DECLINE,-15.66,DECLINE
ADANIENT,Mar 2017,3,-12.72,DECLINE,-29.55,DECLINE,-23.37,DECLINE
ADANIENT,Mar 2018,3,-17.71,DECLINE,-36.3,DECLINE,-27.01,DECLINE
ADANIENT,Mar 2018,5,-4.98,DECLINE,-13.38,DECLINE,-14.14,DECLINE
ADANIENT,Mar 2019,3,5.89,NORMAL,-20.31,DECLINE,-8.04,DECLINE
ADANIENT,Mar 2019,5,-5.98,DECLINE,-28.17,DECLINE,-18.94,DECLINE
ADANIENT,Mar 2020,5,-7.61,DECLINE,-14.66,DECLINE,-11.09,DECLINE
ADANIENT,Mar 2021,5,3.06,NORMAL,0.9,NORMAL,-2.33,DECLINE
ADANIENT,Mar 2022,3,19.8,NORMAL,15.91,NORMAL,,INSUFFICIENT_DATA
ADANIENT,Mar 2022,5,13.7,NORMAL,-3.16,DECLINE,-4.9,DECLINE
ADANIGREEN,Mar 2020,3,71.88,NORMAL,,BOTH_NEGATIVE,,ZERO_BASE
ADANIGREEN,Mar 2021,3,28.28,NORMAL,,TURNAROUND,,TURNAROUND
ADANIGREEN,Mar 2022,3,35.62,NORMAL,,TURNAROUND,,TURNAROUND
ADANIGREEN,Mar 2022,5,59.2,NORMAL,,TURNAROUND,,ZERO_BASE
ADANIGREEN,Mar 2023,3,45.03,NORMAL,,TURNAROUND,,ZERO_BASE
ADANIGREEN,Mar 2023,5,39.35,NORMAL,,TURNAROUND,,TURNAROUND
ADANIGREEN,Mar 2024,5,34.98,NORMAL,,TURNAROUND,,TURNAROUND
ADANIPORTS,Mar 2020,3,12.05,NORMAL,-1.01,DECLINE,,INSUFFICIENT_DATA
ADANIPORTS,Mar 2020,3,12.05,NORMAL,-1.01,DECLINE,,INSUFFICIENT_DATA
ADANIPOWER,Mar 2016,3,55.94,NORMAL,,TURNAROUND,,TURNAROUND
ADANIPOWER,Mar 2017,3,13.84,NORMAL,,BOTH_NEGATIVE,,BOTH_NEGATIVE
ADANIPOWER,Mar 2018,3,2.81,NORMAL,,BOTH_NEGATIVE,,BOTH_NEGATIVE
ADANIPOWER,Mar 2018,5,24.85,NORMAL,,BOTH_NEGATIVE,,BOTH_NEGATIVE
ADANIPOWER,Mar 2019,3,-2.0,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
ADANIPOWER,Mar 2019,5,9.28,NORMAL,,BOTH_NEGATIVE,,BOTH_NEGATIVE
ADANIPOWER,Mar 2020,3,5.38,NORMAL,,BOTH_NEGATIVE,,BOTH_NEGATIVE
ADANIPOWER,Mar 2020,5,7.21,NORMAL,,BOTH_NEGATIVE,,BOTH_NEGATIVE
ADANIPOWER,Mar 2021,3,8.9,NORMAL,,TURNAROUND,,TURNAROUND
ADANIPOWER,Mar 2022,3,5.08,NORMAL,,TURNAROUND,,TURNAROUND
ADANIPOWER,Mar 2022,5,4.15,NORMAL,,TURNAROUND,,TURNAROUND
ADANIPOWER,Mar 2023,3,13.57,NORMAL,,TURNAROUND,,TURNAROUND
ADANIPOWER,Mar 2023,5,13.81,NORMAL,,TURNAROUND,,TURNAROUND
ADANIPOWER,Mar 2023,10,19.21,NORMAL,,TURNAROUND,,TURNAROUND
ADANIPOWER,Mar 2024,5,16.09,NORMAL,,TURNAROUND,,TURNAROUND
ADANIPOWER,Mar 2024,10,12.63,NORMAL,,TURNAROUND,,TURNAROUND
AMBUJACEM,Dec 2015,3,-1.08,DECLINE,-14.48,DECLINE,-14.5,DECLINE
AMBUJACEM,Dec 2016,3,29.93,NORMAL,3.91,NORMAL,-9.14,DECLINE
AMBUJACEM,Dec 2017,3,33.36,NORMAL,9.36,NORMAL,-7.17,DECLINE
AMBUJACEM,Dec 2017,5,19.35,NORMAL,8.53,NORMAL,,INSUFFICIENT_DATA
AMBUJACEM,Mar 2023 15,3,16.67,NORMAL,-0.9,DECLINE,2.7,NORMAL
APOLLOHOSP,Mar 2016,3,17.73,NORMAL,-8.12,DECLINE,-8.24,DECLINE
APOLLOHOSP,Mar 2017,3,18.53,NORMAL,-25.36,DECLINE,-11.39,DECLINE
APOLLOHOSP,Mar 2018,3,17.13,NORMAL,-43.63,DECLINE,-30.66,DECLINE
APOLLOHOSP,Mar 2018,5,16.94,NORMAL,-27.67,DECLINE,-18.32,DECLINE
APOLLOHOSP,Mar 2019,3,16.07,NORMAL,-5.23,DECLINE,,INSUFFICIENT_DATA
APOLLOHOSP,Mar 2019,5,17.16,NORMAL,-8.68,DECLINE,-5.87,DECLINE
APOLLOHOSP,Mar 2021,5,11.42,NORMAL,-10.23,DECLINE,-10.07,DECLINE
ATGL,Mar 2021,3,7.27,NORMAL,41.91,NORMAL,-12.64,DECLINE
ATGL,Mar 2023,5,26.08,NORMAL,27.51,NORMAL,-3.58,DECLINE
AXISBANK,Mar 2017,3,13.28,NORMAL,-16.05,DECLINE,-16.75,DECLINE
AXISBANK,Mar 2018,3,8.87,NORMAL,-66.53,DECLINE,-68.17,DECLINE
AXISBANK,Mar 2018,5,10.99,NORMAL,-44.37,DECLINE,-46.11,DECLINE
AXISBANK,Mar 2019,3,10.29,NORMAL,-17.15,DECLINE,-19.88,DECLINE
AXISBANK,Mar 2019,5,12.41,NORMAL,-5.54,DECLINE,-7.09,DECLINE
AXISBANK,Mar 2020,3,12.03,NORMAL,-23.81,DECLINE,-26.32,DECLINE
AXISBANK,Mar 2020,5,12.04,NORMAL,-26.05,DECLINE,-28.0,DECLINE
