company_id,year,free_cash_flow,fcf_conversion,capex_intensity,cfo_quality_score,cfo_quality_label,capital_allocation_pattern
ABB,Dec 2012,42.0,20.79,3.57,69.66,Moderate,Cash Accumulator
ABB,Mar 2014,11.0,4.12,6.33,78.28,Moderate,Cash Accumulator
ABB,Mar 2014,0.0,0.0,0.0,0.0,Accrual Risk,Mixed
ABB,Mar 2015,28.0,8.97,8.17,93.89,Moderate,Cash Accumulator
ABB,Mar 2015,-1899.0,-608.65,81.43,0.0,Accrual Risk,Growth Funded by Debt
ABB,Mar 2016,172.0,47.12,2.95,97.65,Moderate,Cash Accumulator
ABB,Mar 2016,728.0,199.45,31.22,100.0,High Quality,Cash Accumulator
ABB,Mar 2017,152.0,38.19,5.34,100.0,High Quality,Cash Accumulator
ABB,Mar 2017,459.0,115.33,59.59,100.0,High Quality,Cash Accumulator
ABB,Mar 2018,-62.0,-11.81,6.52,38.15,Accrual Risk,Mixed
ABB,Mar 2018,-994.0,-189.33,96.79,100.0,High Quality,Growth Funded by Debt
ABB,Mar 2019,242.0,40.0,6.99,100.0,High Quality,Cash Accumulator
ABB,Mar 2019,-459.0,-75.87,82.9,100.0,High Quality,Growth Funded by Debt
ABB,Mar 2020,225.0,29.72,9.8,100.0,High Quality,Cash Accumulator
ABB,Mar 2020,-206.0,-27.21,137.87,100.0,High Quality,Growth Funded by Debt
ABB,Mar 2021,655.0,71.04,1.67,100.0,High Quality,Cash Accumulator
ABB,Mar 2021,-225.0,-24.4,93.02,100.0,High Quality,Mixed
ABB,Mar 2022,552.0,51.02,8.06,100.0,High Quality,Cash Accumulator
ABB,Mar 2022,161.0,14.88,80.11,100.0,High Quality,Cash Accumulator
ABB,Mar 2023,745.0,61.77,2.77,94.1,Moderate,Cash Accumulator
ABB,Mar 2023,-922.0,-76.45,87.85,100.0,High Quality,Growth Funded by Debt
ABB,Mar 2024,797.0,54.85,7.11,100.0,High Quality,Cash Accumulator
ABB,Mar 2024,1095.0,75.36,84.51,100.0,High Quality,Cash Accumulator
ABB,TTM,,,,100.0,Accrual Risk,Mixed
ADANIENSOL,Mar 2014,0.0,,,0.0,Accrual Risk,Pre-Revenue
ADANIENSOL,Mar 2015,-1899.0,-1880.2,1422.9,100.0,High Quality,Pre-Revenue
ADANIENSOL,Mar 2016,728.0,37.78,37.19,100.0,High Quality,Cash Accumulator
ADANIENSOL,Mar 2017,459.0,23.15,60.15,100.0,High Quality,Cash Accumulator
ADANIENSOL,Mar 2018,-994.0,-35.17,80.93,100.0,High Quality,Growth Funded by Debt
ADANIENSOL,Mar 2019,-459.0,-16.52,41.75,100.0,High Quality,Growth Funded by Debt
ADANIENSOL,Mar 2020,-206.0,-4.84,49.43,100.0,High Quality,Growth Funded by Debt
ADANIENSOL,Mar 2021,-225.0,-5.7,40.39,100.0,High Quality,Mixed
ADANIENSOL,Mar 2022,161.0,3.83,34.96,100.0,High Quality,Cash Accumulator
ADANIENSOL,Mar 2023,-922.0,-20.41,35.35,100.0,High Quality,Growth Funded by Debt
ADANIENSOL,Mar 2024,1095.0,19.17,29.76,100.0,High Quality,Cash Accumulator
ADANIENSOL,TTM,,,,100.0,Accrual Risk,Mixed
ADANIENT,Mar 2013,-7124.0,-118.32,31.89,100.0,High Quality,Growth Funded by Debt
ADANIENT,Mar 2014,221.0,2.36,14.57,100.0,High Quality,Cash Accumulator
ADANIENT,Mar 2015,-2933.0,-23.56,17.78,100.0,High Quality,Growth Funded by Debt
ADANIENT,Mar 2016,3287.0,195.19,5.37,100.0,High Quality,Cash Accumulator
ADANIENT,Mar 2017,-686.0,-36.07,4.0,83.68,Moderate,Growth Funded by Debt
ADANIENT,Mar 2018,-4707.0,-230.96,21.29,100.0,High Quality,Growth Funded by Debt
ADANIENT,Mar 2019,5723.0,290.66,6.16,100.0,High Quality,Reinvestor
ADANIENT,Mar 2020,1372.0,59.81,2.49,100.0,High Quality,Cash Accumulator
ADANIENT,Mar 2021,-4568.0,-182.28,21.78,100.0,High Quality,Growth Funded by Debt
ADANIENT,Mar 2022,-15656.0,-421.54,24.55,100.0,High Quality,Growth Funded by Debt
ADANIENT,Mar 2023,2167.0,24.57,12.12,100.0,High Quality,Cash Accumulator
ADANIENT,Mar 2024,-8455.0,-74.32,19.46,100.0,High Quality,Growth Funded by Debt
ADANIENT,TTM,,,,100.0,Accrual Risk,Mixed
ADANIGREEN,Mar 2017,-1483.0,-367.99,301.0,0.0,Accrual Risk,Pre-Revenue
ADANIGREEN,Mar 2018,-3779.0,-448.28,299.19,0.0,Accrual Risk,Pre-Revenue
ADANIGREEN,Mar 2019,-1041.0,-68.22,129.54,0.0,Accrual Risk,Pre-Revenue
