company_id,year,horizon_years,eps_cagr_value,eps_cagr_flag
ABB,Mar 2015,3,16.67,NORMAL
ABB,Mar 2017,3,11.81,NORMAL
ABB,Mar 2017,5,13.84,NORMAL
ABB,Mar 2018,3,20.51,NORMAL
ABB,Mar 2019,3,20.89,NORMAL
ABB,Mar 2019,5,17.92,NORMAL
ABB,Mar 2020,3,28.99,NORMAL
ABB,Mar 2020,5,20.9,NORMAL
ABB,Mar 2021,3,19.8,NORMAL
ABB,Mar 2021,5,22.05,NORMAL
ABB,Mar 2022,3,21.05,NORMAL
ABB,Mar 2022,5,23.67,NORMAL
ABB,Mar 2022,10,18.65,NORMAL
ABB,Mar 2023,3,17.01,NORMAL
ABB,Mar 2023,5,18.79,NORMAL
ABB,Mar 2024,3,20.24,NORMAL
ABB,Mar 2024,5,21.66,NORMAL
ABB,Mar 2024,10,19.77,NORMAL
ADANIENSOL,Mar 2017,3,,ZERO_BASE
ADANIENSOL,Mar 2018,3,,ZERO_BASE
ADANIENSOL,Mar 2019,3,18.56,NORMAL
ADANIENSOL,Mar 2019,5,,ZERO_BASE
ADANIENSOL,Mar 2020,3,20.51,NORMAL
ADANIENSOL,Mar 2020,5,,ZERO_BASE
ADANIENSOL,Mar 2021,3,3.23,NORMAL
ADANIENSOL,Mar 2021,5,29.67,NORMAL
ADANIENSOL,Mar 2022,3,30.06,NORMAL
ADANIENSOL,Mar 2022,5,22.42,NORMAL
ADANIENSOL,Mar 2023,3,16.26,NORMAL
ADANIENSOL,Mar 2023,5,1.92,NORMAL
ADANIENSOL,Mar 2024,3,-3.13,DECLINE
ADANIENSOL,Mar 2024,5,14.87,NORMAL
ADANIENSOL,Mar 2024,10,,ZERO_BASE
ADANIENT,Mar 2016,3,-15.66,DECLINE
ADANIENT,Mar 2017,3,-23.37,DECLINE
ADANIENT,Mar 2018,3,-27.01,DECLINE
ADANIENT,Mar 2018,5,-14.14,DECLINE
ADANIENT,Mar 2019,3,-8.04,DECLINE
ADANIENT,Mar 2019,5,-18.94,DECLINE
ADANIENT,Mar 2020,3,3.57,NORMAL
ADANIENT,Mar 2020,5,-11.09,DECLINE
ADANIENT,Mar 2021,3,4.55,NORMAL
ADANIENT,Mar 2021,5,-2.33,DECLINE
ADANIENT,Mar 2022,3,,INSUFFICIENT_DATA
ADANIENT,Mar 2022,5,-4.9,DECLINE
ADANIENT,Mar 2023,3,30.06,NORMAL
ADANIENT,Mar 2023,5,25.74,NORMAL
ADANIENT,Mar 2023,10,3.9,NORMAL
ADANIENT,Mar 2024,3,51.83,NORMAL
ADANIENT,Mar 2024,5,31.95,NORMAL
ADANIENT,Mar 2024,10,3.42,NORMAL
ADANIGREEN,Mar 2020,3,,ZERO_BASE
ADANIGREEN,Mar 2021,3,,TURNAROUND
ADANIGREEN,Mar 2022,3,,TURNAROUND
ADANIGREEN,Mar 2022,5,,ZERO_BASE
ADANIGREEN,Mar 2023,3,,ZERO_BASE
ADANIGREEN,Mar 2023,5,,TURNAROUND
ADANIGREEN,Mar 2024,3,91.29,NORMAL
ADANIGREEN,Mar 2024,5,,TURNAROUND
ADANIPORTS,Mar 2016,3,20.51,NORMAL
ADANIPORTS,Mar 2016,3,20.51,NORMAL
ADANIPORTS,Mar 2017,3,33.42,NORMAL
ADANIPORTS,Mar 2017,3,33.42,NORMAL
ADANIPORTS,Mar 2018,3,17.84,NORMAL
ADANIPORTS,Mar 2018,5,17.61,NORMAL
ADANIPORTS,Mar 2018,3,17.84,NORMAL
ADANIPORTS,Mar 2018,5,17.61,NORMAL
ADANIPORTS,Mar 2019,3,10.72,NORMAL
ADANIPORTS,Mar 2019,5,18.89,NORMAL
ADANIPORTS,Mar 2019,3,10.72,NORMAL
ADANIPORTS,Mar 2019,5,18.89,NORMAL
ADANIPORTS,Mar 2020,3,,INSUFFICIENT_DATA
ADANIPORTS,Mar 2020,5,11.55,NORMAL
ADANIPORTS,Mar 2020,3,,INSUFFICIENT_DATA
ADANIPORTS,Mar 2020,5,11.55,NORMAL
ADANIPORTS,Mar 2021,3,11.57,NORMAL
ADANIPORTS,Mar 2021,5,12.3,NORMAL
ADANIPORTS,Mar 2021,3,11.57,NORMAL
ADANIPORTS,Mar 2021,5,12.3,NORMAL
ADANIPORTS,Mar 2022,3,6.58,NORMAL
ADANIPORTS,Mar 2022,5,3.9,NORMAL
ADANIPORTS,Mar 2022,3,6.58,NORMAL
ADANIPORTS,Mar 2022,5,3.9,NORMAL
ADANIPORTS,Mar 2023,3,9.58,NORMAL
ADANIPORTS,Mar 2023,5,6.79,NORMAL
ADANIPORTS,Mar 2023,10,12.07,NORMAL
ADANIPORTS,Mar 2023,3,9.58,NORMAL
ADANIPORTS,Mar 2023,5,6.79,NORMAL
ADANIPORTS,Mar 2023,10,12.07,NORMAL
ADANIPORTS,Mar 2024,3,14.98,NORMAL
ADANIPORTS,Mar 2024,5,14.87,NORMAL
ADANIPORTS,Mar 2024,10,16.86,NORMAL
ADANIPORTS,Mar 2024,3,14.98,NORMAL
ADANIPORTS,Mar 2024,5,14.87,NORMAL
ADANIPORTS,Mar 2024,10,16.86,NORMAL
ADANIPOWER,Mar 2016,3,,TURNAROUND
ADANIPOWER,Mar 2017,3,,BOTH_NEGATIVE
ADANIPOWER,Mar 2018,3,,BOTH_NEGATIVE
ADANIPOWER,Mar 2018,5,,BOTH_NEGATIVE
ADANIPOWER,Mar 2019,3,,DECLINE_TO_LOSS
ADANIPOWER,Mar 2019,5,,BOTH_NEGATIVE
ADANIPOWER,Mar 2020,3,,BOTH_NEGATIVE
