company_id,year,horizon_years,pat_cagr_value,pat_cagr_flag
ABB,Mar 2015,3,16.45,NORMAL
ABB,Mar 2017,3,11.84,NORMAL
ABB,Mar 2017,5,13.82,NORMAL
ABB,Mar 2018,3,20.53,NORMAL
ABB,Mar 2019,3,20.84,NORMAL
ABB,Mar 2019,5,17.84,NORMAL
ABB,Mar 2020,3,28.88,NORMAL
ABB,Mar 2020,5,20.96,NORMAL
ABB,Mar 2021,3,19.89,NORMAL
ABB,Mar 2021,5,22.06,NORMAL
ABB,Mar 2022,3,21.09,NORMAL
ABB,Mar 2022,5,23.6,NORMAL
ABB,Mar 2022,10,18.61,NORMAL
ABB,Mar 2023,3,16.97,NORMAL
ABB,Mar 2023,5,18.8,NORMAL
ABB,Mar 2024,3,20.23,NORMAL
ABB,Mar 2024,5,21.69,NORMAL
ABB,Mar 2024,10,19.75,NORMAL
ADANIENSOL,Mar 2017,3,,ZERO_BASE
ADANIENSOL,Mar 2018,3,,TURNAROUND
ADANIENSOL,Mar 2019,3,14.95,NORMAL
ADANIENSOL,Mar 2019,5,,ZERO_BASE
ADANIENSOL,Mar 2020,3,19.28,NORMAL
ADANIENSOL,Mar 2020,5,,TURNAROUND
ADANIENSOL,Mar 2021,3,4.12,NORMAL
ADANIENSOL,Mar 2021,5,28.51,NORMAL
ADANIENSOL,Mar 2022,3,30.28,NORMAL
ADANIENSOL,Mar 2022,5,24.33,NORMAL
ADANIENSOL,Mar 2023,3,21.97,NORMAL
ADANIENSOL,Mar 2023,5,2.31,NORMAL
ADANIENSOL,Mar 2024,3,-2.49,DECLINE
ADANIENSOL,Mar 2024,5,16.43,NORMAL
ADANIENSOL,Mar 2024,10,,ZERO_BASE
ADANIENT,Mar 2016,3,-6.36,DECLINE
ADANIENT,Mar 2017,3,-29.55,DECLINE
ADANIENT,Mar 2018,3,-36.3,DECLINE
ADANIENT,Mar 2018,5,-13.38,DECLINE
ADANIENT,Mar 2019,3,-20.31,DECLINE
ADANIENT,Mar 2019,5,-28.17,DECLINE
ADANIENT,Mar 2020,3,3.98,NORMAL
ADANIENT,Mar 2020,5,-14.66,DECLINE
ADANIENT,Mar 2021,3,20.76,NORMAL
ADANIENT,Mar 2021,5,0.9,NORMAL
ADANIENT,Mar 2022,3,15.91,NORMAL
ADANIENT,Mar 2022,5,-3.16,DECLINE
ADANIENT,Mar 2023,3,32.55,NORMAL
ADANIENT,Mar 2023,5,32.46,NORMAL
ADANIENT,Mar 2023,10,7.12,NORMAL
ADANIENT,Mar 2024,3,47.18,NORMAL
ADANIENT,Mar 2024,5,45.81,NORMAL
ADANIENT,Mar 2024,10,2.34,NORMAL
ADANIGREEN,Mar 2020,3,,BOTH_NEGATIVE
ADANIGREEN,Mar 2021,3,,TURNAROUND
ADANIGREEN,Mar 2022,3,,TURNAROUND
ADANIGREEN,Mar 2022,5,,TURNAROUND
ADANIGREEN,Mar 2023,3,,TURNAROUND
ADANIGREEN,Mar 2023,5,,TURNAROUND
ADANIGREEN,Mar 2024,3,90.59,NORMAL
ADANIGREEN,Mar 2024,5,,TURNAROUND
ADANIPORTS,Mar 2016,3,20.34,NORMAL
ADANIPORTS,Mar 2016,3,20.34,NORMAL
ADANIPORTS,Mar 2017,3,30.87,NORMAL
ADANIPORTS,Mar 2017,3,30.87,NORMAL
ADANIPORTS,Mar 2018,3,16.66,NORMAL
ADANIPORTS,Mar 2018,5,17.62,NORMAL
ADANIPORTS,Mar 2018,3,16.66,NORMAL
ADANIPORTS,Mar 2018,5,17.62,NORMAL
ADANIPORTS,Mar 2019,3,12.3,NORMAL
ADANIPORTS,Mar 2019,5,18.37,NORMAL
ADANIPORTS,Mar 2019,3,12.3,NORMAL
ADANIPORTS,Mar 2019,5,18.37,NORMAL
ADANIPORTS,Mar 2020,3,-1.01,DECLINE
ADANIPORTS,Mar 2020,5,10.25,NORMAL
ADANIPORTS,Mar 2020,3,-1.01,DECLINE
ADANIPORTS,Mar 2020,5,10.25,NORMAL
ADANIPORTS,Mar 2021,3,11.02,NORMAL
ADANIPORTS,Mar 2021,5,12.07,NORMAL
ADANIPORTS,Mar 2021,3,11.02,NORMAL
ADANIPORTS,Mar 2021,5,12.07,NORMAL
ADANIPORTS,Mar 2022,3,6.98,NORMAL
ADANIPORTS,Mar 2022,5,4.89,NORMAL
