company_id,year,horizon_years,revenue_cagr_value,revenue_cagr_flag
ABB,Mar 2015,3,11.46,NORMAL
ABB,Mar 2017,3,8.45,NORMAL
ABB,Mar 2017,5,11.92,NORMAL
ABB,Mar 2018,3,12.95,NORMAL
ABB,Mar 2019,3,12.07,NORMAL
ABB,Mar 2019,5,10.08,NORMAL
ABB,Mar 2020,3,12.13,NORMAL
ABB,Mar 2020,5,12.33,NORMAL
ABB,Mar 2021,3,9.33,NORMAL
ABB,Mar 2021,5,10.52,NORMAL
ABB,Mar 2022,3,10.12,NORMAL
ABB,Mar 2022,5,11.1,NORMAL
ABB,Mar 2022,10,11.51,NORMAL
ABB,Mar 2023,3,9.33,NORMAL
ABB,Mar 2023,5,10.16,NORMAL
ABB,Mar 2024,3,10.71,NORMAL
ABB,Mar 2024,5,9.72,NORMAL
ABB,Mar 2024,10,9.9,NORMAL
ADANIENSOL,Mar 2017,3,,ZERO_BASE
ADANIENSOL,Mar 2018,3,211.09,NORMAL
ADANIENSOL,Mar 2019,3,49.32,NORMAL
ADANIENSOL,Mar 2019,5,,ZERO_BASE
ADANIENSOL,Mar 2020,3,58.33,NORMAL
ADANIENSOL,Mar 2020,5,144.37,NORMAL
ADANIENSOL,Mar 2021,3,36.02,NORMAL
ADANIENSOL,Mar 2021,5,35.24,NORMAL
ADANIENSOL,Mar 2022,3,15.51,NORMAL
ADANIENSOL,Mar 2022,5,31.38,NORMAL
ADANIENSOL,Mar 2023,3,5.2,NORMAL
ADANIENSOL,Mar 2023,5,27.51,NORMAL
ADANIENSOL,Mar 2024,3,18.72,NORMAL
ADANIENSOL,Mar 2024,5,17.85,NORMAL
ADANIENSOL,Mar 2024,10,,ZERO_BASE
ADANIENT,Mar 2016,3,-9.82,DECLINE
ADANIENT,Mar 2017,3,-12.72,DECLINE
ADANIENT,Mar 2018,3,-17.71,DECLINE
ADANIENT,Mar 2018,5,-4.98,DECLINE
ADANIENT,Mar 2019,3,5.89,NORMAL
ADANIENT,Mar 2019,5,-5.98,DECLINE
ADANIENT,Mar 2020,3,5.91,NORMAL
ADANIENT,Mar 2020,5,-7.61,DECLINE
ADANIENT,Mar 2021,3,3.25,NORMAL
ADANIENT,Mar 2021,5,3.06,NORMAL
ADANIENT,Mar 2022,3,19.8,NORMAL
ADANIENT,Mar 2022,5,13.7,NORMAL
ADANIENT,Mar 2023,3,43.23,NORMAL
ADANIENT,Mar 2023,5,28.84,NORMAL
ADANIENT,Mar 2023,10,10.65,NORMAL
ADANIENT,Mar 2024,3,34.6,NORMAL
ADANIENT,Mar 2024,5,19.02,NORMAL
ADANIENT,Mar 2024,10,5.78,NORMAL
ADANIGREEN,Mar 2020,3,71.88,NORMAL
ADANIGREEN,Mar 2021,3,28.28,NORMAL
ADANIGREEN,Mar 2022,3,35.62,NORMAL
ADANIGREEN,Mar 2022,5,59.2,NORMAL
ADANIGREEN,Mar 2023,3,45.03,NORMAL
ADANIGREEN,Mar 2023,5,39.35,NORMAL
ADANIGREEN,Mar 2024,3,43.44,NORMAL
ADANIGREEN,Mar 2024,5,34.98,NORMAL
ADANIPORTS,Mar 2016,3,25.73,NORMAL
ADANIPORTS,Mar 2016,3,25.73,NORMAL
ADANIPORTS,Mar 2017,3,20.44,NORMAL
ADANIPORTS,Mar 2017,3,20.44,NORMAL
ADANIPORTS,Mar 2018,3,22.55,NORMAL
ADANIPORTS,Mar 2018,5,25.92,NORMAL
ADANIPORTS,Mar 2018,3,22.55,NORMAL
ADANIPORTS,Mar 2018,5,25.92,NORMAL
ADANIPORTS,Mar 2019,3,15.4,NORMAL
ADANIPORTS,Mar 2019,5,17.73,NORMAL
ADANIPORTS,Mar 2019,3,15.4,NORMAL
ADANIPORTS,Mar 2019,5,17.73,NORMAL
ADANIPORTS,Mar 2020,3,12.05,NORMAL
ADANIPORTS,Mar 2020,5,14.05,NORMAL
ADANIPORTS,Mar 2020,3,12.05,NORMAL
ADANIPORTS,Mar 2020,5,14.05,NORMAL
ADANIPORTS,Mar 2021,3,3.49,NORMAL
ADANIPORTS,Mar 2021,5,12.04,NORMAL
ADANIPORTS,Mar 2021,3,3.49,NORMAL
ADANIPORTS,Mar 2021,5,12.04,NORMAL
ADANIPORTS,Mar 2022,3,16.15,NORMAL
