Company,Composite Score,ROE,ROCE,FCF,Revenue CAGR,PAT CAGR,Debt To Equity
INDIGO,76.95478154202173,892.57,5640.88,9424.0,19.31,120.69,0.02
HAL,68.81618817730951,3816.58,3027.64,1814.0,8.71,26.49,0.62
TCS,66.59863730344657,50.94,65.27,50429.0,10.46,7.87,0.09
NESTLEIND,65.57930436105174,117.75,157.75,2938.0,14.55,14.85,0.1
BEL,64.14576595415195,4744.05,3977.17,-1265.0,10.75,16.13,0.51
LT,64.13566889292746,77.67,135.2,20445.0,10.34,8.76,0.1
IRCTC,63.23155283022012,34.4,44.56,667.0,17.96,29.17,0.02
COALINDIA,62.67257022025497,45.17,105.71,13617.0,7.4,16.43,0.08
ITC,60.64458105252139,27.85,35.07,18742.0,7.95,10.08,0.0
INFY,58.850737487170406,29.79,37.76,20117.0,13.2,11.24,0.09
TRENT,58.647190990838055,36.31,33.86,841.0,36.31,73.11,0.43
LICI,57.498459220455686,49.45,39.61,853.0,8.16,73.18,0.0
ABB,56.32065379449775,32.47,38.42,797.0,9.72,21.69,0.02
LTIM,53.583298405729174,22.9,28.91,1752.0,30.33,24.78,0.1
HINDUNILVR,53.02399482896733,20.07,89.63,10145.0,9.5,11.15,0.03
ICICIBANK,52.377949929038905,17.99,5.22,12547.0,17.25,51.95,6.45
ICICIGI,52.253855004381336,15.72,146.32,486.0,12.91,12.84,0.0
ASIANPAINT,51.91228056491943,29.68,35.77,3556.0,13.03,20.28,0.13
BPCL,51.836907069180825,35.51,33.85,25415.0,8.48,25.79,0.72
HCLTECH,51.25874880670725,23.01,32.69,15840.0,12.71,9.19,0.08
